did,beta_merit,n_posts_analyzed
did:plc:24hevzh6xjwyr7sawizeggph,131.702520610083,27
did:plc:24hnkyzkfnbnju7ux2m2rfip,5.721080159698016,1453
did:plc:24hpxipkbunkbqosg6qualke,17.271987833849963,10
did:plc:24hwulbfbovormoacn4ubi7d,15.947741481540044,5
did:plc:24icq75goz5q5hhyccao75qf,1.7608496866856749,2
did:plc:24ifz3k2fj2akzmyzwbxmjsh,1.3876886818804977,1312
did:plc:24ik3hzjagjqqh32oj4yyjs3,17.61359707893832,2
did:plc:24in3auikth3ud6sa3g3mwok,40.855714225163844,3
did:plc:24itnmm7kylcmuxcgan44twg,34.66220386799466,13
did:plc:24j24wne4yzrnaih4jq3q2vx,12.203375902283694,28
did:plc:24je276xut6snvtsl47xayy3,6.202757360219109,1146
did:plc:24jl37wxaa7va3otvee3affj,48.493649117919624,37
did:plc:24jomaembl6qnyw4euvfq4dm,18.113493735777556,22
did:plc:24k7k3igkdmv3z7f6cjvntmn,7.606011937769388,5
did:plc:24ka6uedlympf6csdwakzjgu,6.900129072580146,1
did:plc:24kemcifmahefhcsqko3vkto,2653.792336679404,5
did:plc:24kfdq2fyxbrw2bisrynhxfo,163.19679424303771,27
did:plc:24kiwvomeuxb3u2sixjgt7gd,38.410243822821386,2
did:plc:24kjtak4yci6b4xztkiseuis,1.783396216588928,171
did:plc:24ko4g4o4u6mfbv4wt7phnh6,365.8395950235641,19
did:plc:24kvjmjls5zo5qyagwes2jhs,50.9895950151882,1
did:plc:24lhxj4qqmadqxtw4lpst7mx,14.433408070345477,11
did:plc:24m2mg27mlyzmqy2efpyjqij,779.0797801001223,11
did:plc:24m2xjetjmjfdbgo752skciu,65.80288298489792,17
did:plc:24mgxwj5izb5kvr6awp6olob,17.572778467816793,14
did:plc:24mhwbowdwbk6om25tbq2i66,24.074983776931557,6
did:plc:24ml5vomi5rygirp2dmgmtmc,8.383791743227691,126
did:plc:24mnsbrqf2z3eois4q4yxenw,33.56863206257027,55
did:plc:24mzyvyukyxbgm4rsqgiidft,7.026835328904067,11
did:plc:24nbxt4max6axcsgypepg4yk,12.337008098847358,413
did:plc:24ngrqljhck7hpvbgrg7a23k,94.24730141061427,76
did:plc:24njbw3w2z6zv3kwaodlgcad,1.283830810991855,80
did:plc:24o3hfisldbkbe3ih4asw7jc,16.53926303579224,3
did:plc:24odqutmhpvtca74w2sve3zk,55.33696540847276,3
did:plc:24oenooz3nkpchyifqvh7xcx,80.07105367474541,3
